,Equipo,RL,PJ,PG,PE,PP,GF,GC,DG,Pts,Gls.,Ass,G-TP,Gls./90,Ast/90,G-TP/90,xG,npxG,xA,xG/90,npxG/90,xA/90,Penales intentados,Penales concedidos,Penales detenidos,Penales fallidos,%Penales salvados,Presiones Z3,Presiones Z2,Presiones Z1,Presiones,Takles Z3,Takles Z2,Takles Z1,Takles,Toques Z3,Toques Z2,Toques Z1,Toques,TA,TR,2a amarilla,Fls,FR,Temporada,PPDA,OPPDA,DC,ODC
0,Barcelona,1,38,28,9,1,99,29,+70,93,96,58,93,2.53,1.53,2.45,78.3,75.2,58.6,2.06,1.98,1.54,2,2,0,0,0.0,1652,2956,1800,6408,72,194,233,499,9030,14165,7716,28834,66,2,0,337,528,2017-2018,8.37,12.54,528,188
1,Atlético Madrid,2,38,23,10,5,58,22,+36,79,57,40,53,1.50,1.05,1.39,47.8,44.2,32.6,1.26,1.16,0.86,4,1,3,0,75.0,1401,3035,2290,6726,76,263,375,714,5949,10958,7072,22528,93,8,3,487,483,2017-2018,9.54,9.27,257,233
2,Real Madrid,3,38,22,10,6,94,44,+50,76,91,63,83,2.39,1.66,2.18,83.3,75.6,59.4,2.19,1.99,1.56,4,2,2,0,50.0,1572,2884,1893,6349,74,218,267,559,8919,13397,7025,27475,65,6,2,415,522,2017-2018,8.91,13.27,453,188
3,Valencia,4,38,22,7,9,65,38,+27,73,63,43,55,1.66,1.13,1.45,56.0,49.9,38.4,1.47,1.31,1.01,5,3,2,0,40.0,1340,2890,2174,6404,69,218,360,647,5513,10691,7085,21839,103,9,4,515,551,2017-2018,10.13,8.25,234,250
4,Villarreal,5,38,18,7,13,57,50,+7,61,56,39,52,1.47,1.03,1.37,52.2,48.4,38.6,1.37,1.27,1.02,7,5,2,0,28.6,1249,2612,1775,5636,50,229,312,591,5218,11215,7530,22451,113,10,4,579,468,2017-2018,9.11,10.81,230,257
5,Betis,6,38,18,6,14,60,61,-1,60,56,38,54,1.47,1.00,1.42,41.1,39.1,31.3,1.08,1.03,0.82,4,3,1,0,25.0,1160,2698,1906,5764,56,181,263,500,5697,12664,8155,24882,91,4,1,453,498,2017-2018,9.13,11.9,183,236
6,Sevilla,7,38,17,7,14,49,58,-9,58,48,36,44,1.26,0.95,1.16,56.5,52.8,39.8,1.49,1.39,1.05,8,5,1,2,16.7,1311,2652,1704,5667,67,240,300,607,6503,11888,7224,24031,97,5,2,523,506,2017-2018,8.51,10.86,350,233
7,Getafe,8,38,15,10,13,42,33,+9,55,41,24,36,1.08,0.63,0.95,46.4,37.1,26.0,1.22,0.98,0.68,4,2,1,1,33.3,1255,3029,1926,6210,58,206,309,573,4869,7551,5549,17018,130,9,4,664,503,2017-2018,9.16,5.35,189,208
8,Eibar,9,38,14,9,15,44,50,-6,51,43,33,41,1.13,0.87,1.08,39.9,37.6,25.4,1.05,0.99,0.67,4,4,0,0,0.0,1901,2727,1365,5993,68,208,214,490,6844,10733,5302,21589,84,5,2,486,450,2017-2018,7.33,10.69,149,168
9,Girona,10,38,14,9,15,50,59,-9,51,50,24,44,1.32,0.63,1.16,48.9,42.8,30.9,1.29,1.13,0.81,5,4,0,1,0.0,1304,3003,1731,6038,54,195,249,498,4912,9343,6406,19454,104,0,0,587,465,2017-2018,9.0,8.45,137,236
