,Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G-TP,TP,TPint,TA,TR,Gls./90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Partidos,Temporada,Equipo
0,Jan Oblak,si SVN,PO,24,37,37,"3,330",37.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Partidos,2017-2018,Atlético Madrid
1,Saúl Ñíguez,es ESP,CC,22,36,35,"3,155",35.1,2,4,2,0,0,9,0,0.06,0.11,0.17,0.06,0.17,3.2,3.2,2.9,6.1,0.09,0.08,0.18,0.09,0.18,Partidos,2017-2018,Atlético Madrid
2,Koke,es ESP,"CC,DL",25,35,33,"2,753",30.6,4,3,4,0,0,3,0,0.13,0.10,0.23,0.13,0.23,2.9,2.9,7.3,10.2,0.10,0.24,0.33,0.10,0.33,Partidos,2017-2018,Atlético Madrid
3,Antoine Griezmann,fr FRA,DL,26,32,30,"2,509",27.9,19,9,17,2,2,7,1,0.68,0.32,1.00,0.61,0.93,12.6,11.1,5.3,16.4,0.45,0.19,0.64,0.40,0.59,Partidos,2017-2018,Atlético Madrid
4,Diego Godín,uy URU,DF,31,30,28,"2,554",28.4,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.1,1.6,0.05,0.00,0.06,0.05,0.06,Partidos,2017-2018,Atlético Madrid
5,Thomas Partey,gh GHA,"CC,DF",24,33,28,"2,373",26.4,3,0,3,0,0,6,0,0.11,0.00,0.11,0.11,0.11,1.5,1.5,0.5,2.1,0.06,0.02,0.08,0.06,0.08,Partidos,2017-2018,Atlético Madrid
6,Ángel Correa,ar ARG,"DL,CC",22,37,27,"2,240",24.9,8,5,8,0,0,4,2,0.32,0.20,0.52,0.32,0.52,6.0,6.0,2.2,8.2,0.24,0.09,0.33,0.24,0.33,Partidos,2017-2018,Atlético Madrid
7,Stefan Savić,me MNE,DF,26,27,26,"2,299",25.5,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.01,0.01,0.01,0.01,0.01,Partidos,2017-2018,Atlético Madrid
8,Gabi,es ESP,CC,34,34,25,"2,354",26.2,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,2.1,2.5,0.02,0.08,0.10,0.02,0.10,Partidos,2017-2018,Atlético Madrid
9,Lucas Hernández,fr FRA,DF,21,27,24,"2,122",23.6,0,1,0,0,0,7,2,0.00,0.04,0.04,0.00,0.04,0.8,0.8,0.5,1.3,0.03,0.02,0.05,0.03,0.05,Partidos,2017-2018,Atlético Madrid
