,Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,GC,GC90,DaPC,Salvadas,% Salvadas,PaC,PaC%,PC,%PC,Temporada,Equipo,TL,TE,GCpropios,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,PInt.,% Cmp,Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90
0,Jan Oblak,si SVN,PO,24,37,37,"3,330",37.0,22,0.59,126,106,83.3,22,59.5,3,75.0,2017-2018,Atlético Madrid,1,2,1,32.5,0.24,+11.5,+0.31,151,447,33.8,378,30,7.9,10,0.27
1,Axel Werner,ar ARG,PO,21,1,1,90,1.0,0,0.00,3,3,100.0,1,100.0,0,,2017-2018,Atlético Madrid,0,0,0,0.5,0.16,+0.5,+0.47,2,10,20.0,12,0,0.0,0,0.00
2,Keylor Navas,cr CRC,PO,30,27,27,"2,430",27.0,31,1.15,112,84,74.1,7,25.9,2,50.0,2017-2018,Real Madrid,0,8,1,33.8,0.28,+3.8,+0.14,59,153,38.6,215,22,10.2,19,0.70
3,Kiko Casilla,es ESP,PO,30,10,10,900,10.0,11,1.10,32,22,65.6,3,30.0,0,,2017-2018,Real Madrid,0,1,1,10.4,0.36,+0.4,+0.04,27,69,39.1,80,6,7.5,5,0.50
4,Luca Zidane,fr FRA,PO,19,1,1,90,1.0,2,2.00,4,2,50.0,0,0.0,0,,2017-2018,Real Madrid,0,0,0,1.0,0.25,-1.0,-0.99,0,1,0.0,5,1,20.0,0,0.00
5,Marc-André ter Stegen,de GER,PO,25,37,37,"3,330",37.0,28,0.76,129,103,79.8,19,51.4,0,0.0,2017-2018,Barcelona,0,1,0,35.7,0.27,+7.7,+0.21,147,308,47.7,290,27,9.3,22,0.59
6,Jasper Cillessen,nl NED,PO,28,1,1,90,1.0,1,1.00,7,6,85.7,1,100.0,0,,2017-2018,Barcelona,0,0,0,1.3,0.18,+0.3,+0.26,2,9,22.2,7,1,14.3,0,0.00
7,Sergio Rico,es ESP,PO,23,24,23,"2,157",24.0,39,1.63,90,54,60.0,9,39.1,1,25.0,2017-2018,Sevilla,1,5,0,32.6,0.32,-6.4,-0.27,93,254,36.6,231,26,11.3,6,0.25
8,David Soria,es ESP,PO,24,15,15,"1,263",14.0,19,1.35,57,41,70.2,5,33.3,0,0.0,2017-2018,Sevilla,0,1,1,17.5,0.29,-0.5,-0.04,51,126,40.5,134,14,10.4,6,0.43
9,Gerónimo Rulli,ar ARG,PO,25,26,26,"2,340",26.0,45,1.73,100,60,59.0,6,23.1,1,20.0,2017-2018,Real Sociedad,2,6,1,35.7,0.32,-8.3,-0.32,157,348,45.1,212,24,11.3,22,0.85
10,Miguel Ángel Moyá,es ESP,PO,33,9,9,763,8.5,8,0.94,30,24,80.0,2,22.2,1,33.3,2017-2018,Real Sociedad,0,2,0,9.8,0.25,+1.8,+0.21,69,131,52.7,88,12,13.6,7,0.82
11,Toño Ramírez,es ESP,PO,30,4,3,316,3.5,6,1.71,11,5,45.5,1,33.3,0,,2017-2018,Real Sociedad,0,1,0,3.5,0.32,-2.5,-0.71,17,50,34.0,29,1,3.4,0,0.00
12,Antonio Adán,es ESP,PO,30,30,30,"2,700",30.0,53,1.77,128,82,60.9,9,30.0,1,25.0,2017-2018,Real Betis,0,6,4,38.5,0.28,-10.5,-0.35,177,459,38.6,289,30,10.4,18,0.60
13,Pedro López,es ESP,PO,22,5,4,412,4.6,8,1.75,18,10,55.6,0,0.0,0,,2017-2018,Real Betis,0,2,0,6.9,0.39,-1.1,-0.23,19,47,40.4,39,3,7.7,3,0.66
14,Dani Giménez,es ESP,PO,34,4,4,308,3.4,0,0.00,7,7,100.0,3,75.0,0,,2017-2018,Real Betis,0,0,0,2.2,0.31,+2.2,+0.64,10,38,26.3,39,1,2.6,0,0.00
